Query,Prediction,Reference,Cosine Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Exact Match,Token Overlap Accuracy,Hit@3,MRR@3,Answer Relevance (GPT),Groundedness (GPT),Context Relevance (GPT),BERTScore-F1,BERTScore-P,BERTScore-R
What is a legal heir certificate?,"**Direct Answer:**
A legal heir certificate is a document that establishes the legal relationship between an individual and their heirs. It is typically issued by a court or a government agency and serves as proof of inheritance rights.

**Relevant Legal Provisions/Sections:**
1. Section 32 of the Indian Succession Act, 1925 (for Indian context)
2. Article 2 of the Uniform Probate Code (for US context)

**Simple Explanation:**
In simple terms, a legal heir certificate is a document that proves who inherits property, assets, or other belongings after the owner passes away. It helps to resolve disputes and provides clarity on the distribution of the deceased person's estate among their heirs.

**Related Topics for Further Exploration:**
1. Probate law
2. Inheritance laws
3. Succession planning
4. Estate administration
5. Heirship proceedings

**Legal Category Classification:**
Civil Law

**Disclaimer:**
This is not legal advice. Please consult a qualified legal professional for specific legal matters.",A legal heir certificate is issued to identify the rightful heirs of a deceased person for transferring assets and claims.,0.8169512152671814,0.02883938180159795,0.20645161290322583,0.065359477124183,0.15483870967741936,0.0,0.65,0,0,0.9,0.8,0.85,0.8681359887123108,0.8278488516807556,0.912544846534729
What is FIR?,"Here is a comprehensive response to your query:

**Direct Answer:** A First Information Report (FIR) is a written document that is lodged with the police by a victim or an eyewitness of a crime, or by someone who has knowledge about the commission of a crime.

**Relevant Legal Provisions:** Section 154 of the Code of Criminal Procedure, 1973, provides for the filing of an FIR.

**Simple Explanation:** An FIR is a first-hand account of a crime that is reported to the police. It is usually written by the investigating officer and contains details of the crime, the parties involved, and any other relevant information. The FIR serves as a formal complaint and is the starting point for the police investigation into the crime.

**Related Topics:** Crime, Police Procedure, Investigation, Evidence Collection

**Legal Category Classification:** Criminal Law

**Disclaimer:** This is not legal advice. Please consult a qualified legal professional for specific legal matters.

This is not legal advice. Please consult a qualified legal professional for specific legal matters.",First Information Report (FIR) is a written document prepared by police when they receive information about a cognizable offense.,0.46427375078201294,0.05461943055680819,0.14942528735632185,0.0813953488372093,0.13793103448275865,0.0,0.6111111111111112,0,0,0.9,0.8,0.85,0.8485280871391296,0.8144741654396057,0.8855539560317993
What is the process of divorce under Hindu Law?,"**Direct Answer:**
Under Hindu Law, the process of divorce is governed by the Hindu Marriage Act, 1955. The Act provides for two types of divorce: divorce by mutual consent and divorce by petition.

**Relevant Legal Provisions/Sections:**
Section 13 of the Hindu Marriage Act, 1955, provides for the grounds for divorce by mutual consent, while Section 13(1) of the Act provides for the grounds for divorce by petition.

**Simple Explanation:**
A divorce under Hindu Law can be obtained through mutual consent, where both spouses agree to end their marriage, or through a petition, where one spouse seeks a divorce citing specific grounds such as adultery, cruelty, or desertion.

**Related Topics for Further Exploration:**

* Grounds for divorce under Hindu Law
* Procedure for filing a divorce petition
* Maintenance and alimony under Hindu Law
* Hindu Succession Act and its implications on divorce

**Legal Category Classification:** Family Law","Under Hindu Marriage Act, divorce can be filed on grounds like cruelty, desertion, adultery, mutual consent, etc.",0.8593968152999878,0.03336134820125146,0.19178082191780824,0.06944444444444445,0.136986301369863,0.0,0.7647058823529411,0,0,0.9,0.8,0.85,0.8805509209632874,0.845782458782196,0.9183005094528198
What are fundamental rights in India?,"**Direct Answer:**
The fundamental rights in India are enshrined in Part III of the Indian Constitution, specifically in Articles 12 to 35. These rights are guaranteed to every citizen of India and are considered the basic human rights.

**Relevant Legal Provisions:**
Article 12, Article 13, Article 14, Article 19, Article 20, Article 21, Article 22, Article 23, Article 24, Article 25, Article 26, Article 27, Article 28, Article 29, Article 30, Article 31, Article 32, Article 33, Article 34, Article 35

**Simple Explanation:**
These fundamental rights include freedoms such as speech, expression, and assembly, as well as the right to equality, life, and liberty. They also include the right to freedom from exploitation, forced labor, and discrimination. These rights are essential to ensure that every individual in India has a fair and just society to live in.

**Related Topics for Further Exploration:**

* Right to Education (Article 21A)
* Right to Equality (Article 14)
* Right to Freedom (Article 19)
* Right to Life and Personal Liberty (Article 21)
* Right Against Exploitation (Article 23)
* Right to Freedom of Religion (Article 25-28)

**Legal Category Classification:** Constitutional Law

**Disclaimer:**
This is not legal advice. Please consult a qualified legal professional for specific legal matters.","Fundamental rights in India include equality, freedom, right against exploitation, freedom of religion, cultural and educational rights, and constitutional remedies.",0.7748918533325195,0.0,0.16748768472906403,0.06965174129353234,0.13793103448275862,0.0,0.5263157894736842,0,0,0.9,0.8,0.85,0.8457360863685608,0.7991272807121277,0.8981183767318726
What is IPC section 375?,"**Direct Answer:**
IPC section 375 defines the offense of rape as: ""A man is said to commit ""rape"" if he has sexual intercourse with a woman against her will without her consent, or with her consent if the consent has been obtained by coercion, or by misrepresenting the nature of the act, or by forcing or seducing her to sexual intercourse without her consent.""

**Relevant Legal Provisions/Sections:**
Indian Penal Code (IPC), Section 375

**Simple Explanation:**
In simple terms, section 375 of the Indian Penal Code criminalizes sexual intercourse without the consent of the woman. It also includes cases where the woman is forced or coerced into sexual intercourse, or where the perpetrator misrepresents the nature of the act or uses false promises to obtain consent.

**Related Topics for Further Exploration:**
* Consent and sexual assault
* Sexual harassment and workplace laws
* Domestic violence and abuse
* Gender-based violence and laws

**Legal Category Classification:**
Criminal Law

**Disclaimer:**
This is not legal advice. Please consult a qualified legal professional for specific legal matters.",Section 375 of the IPC defines rape and outlines specific acts that constitute the offense.,0.3120300769805908,0.0,0.13095238095238093,0.04819277108433735,0.08333333333333333,0.0,0.6428571428571429,0,0,0.9,0.8,0.85,0.8505555391311646,0.8041360378265381,0.9026625156402588
What is judicial custody?,"**Direct Answer:**
According to the Indian legal system, judicial custody refers to the detention of an accused person in a jail or a correctional facility, as ordered by a court of law, pending the trial or hearing of their case.

**Relevant Legal Provisions/Sections:**
Section 56 of the Code of Criminal Procedure, 1973 (CrPC) and Section 167 of the CrPC.

**Simple Explanation:**
Judicial custody means that a person accused of a crime is taken into custody by the police and then surrendered to the court, where they will remain until their case is heard and decided. During this period, they are not considered to be in police custody, but rather in the custody of the court, and are entitled to certain rights and protections under the law.

**Related Topics for Further Exploration:**
Arrest, Bail, Police Custody, Judicial Remand, Pre-trial Detention.

**Legal Category Classification:**
Criminal Law","Judicial custody means the accused is kept in jail under the court's order, not under police interrogation.",0.7616429328918457,0.0,0.1756756756756757,0.0547945205479452,0.14864864864864863,0.0,0.7333333333333333,0,0,1.0,1.0,0.9,0.8584434390068054,0.825674295425415,0.8939211368560791
What is a police remand?,"**Direct Answer:**
A police remand, also known as police custody, is a temporary detention of a suspect by the police for a specified period, usually 24 to 48 hours, to investigate a crime.

**Relevant Legal Provisions/Sections:**
Section 167 (1) of the Code of Criminal Procedure, 1973

**Simple Explanation:**
When a person is suspected of committing a crime, the police can take them into custody and interrogate them to gather more information. During this time, the suspect is not formally charged with a crime, but rather is held for a limited period to aid in the investigation. This is known as a police remand.

**Related Topics for Further Exploration:**

* Police powers and procedures
* Arrest and detention laws
* Investigation techniques
* Rights of an arrested person

**Legal Category Classification:** Criminal Law

**Standard Disclaimer:**
This is not legal advice. Please consult a qualified legal professional for specific legal matters.",Police remand refers to the detention of an accused in police custody for investigation purposes after arrest and court approval.,0.7613241672515869,0.0,0.18918918918918917,0.0684931506849315,0.14864864864864866,0.0,0.55,0,0,0.9,0.8,0.85,0.8614095449447632,0.8257707357406616,0.900263249874115
What is a bail bond?,"**Direct Answer:**

A bail bond is a financial guarantee that ensures an accused person's appearance in court. It is typically provided by a bail bond agent or a surety company and is used to secure the release of a defendant from custody while they await trial or sentencing.

**Relevant Legal Provisions/Sections:**

* Federal Rule of Criminal Procedure 46(a)(1): ""Bail shall be set by the judicial officer with due regard to the principles of this section.""
* 18 U.S.C. § 3142(f): ""The judicial officer may fix the amount of the bail or other conditions of release at the time of the initial appearance.""

**Simple Explanation:**

Imagine you're arrested and taken to jail. To get out, you need to provide a guarantee that you'll show up for your court dates. A bail bond is like a promise that says, ""I'll be there, or someone else will pay the price."" This allows you to be released from jail pending trial, but you'll need to follow specific rules and appear in court as scheduled.

**Related Topics for Further Exploration:**

* Pre-trial release
* Conditions of release
* Bail reform
* Criminal procedure

**Legal Category Classification:**

Criminal Law

**Disclaimer:**

This is not legal advice. Please consult a qualified legal professional for specific legal matters.","A bail bond is a written promise, often with a monetary guarantee, that the accused will appear in court when required.",0.722205638885498,0.024698704671871394,0.14678899082568805,0.06481481481481481,0.11926605504587157,0.0,0.65,0,0,0.9,0.8,0.7,0.8623232841491699,0.8149798512458801,0.9155063629150391
What is IPC section 498A?,"**Direct Answer:**
IPC section 498A is a criminal provision in the Indian Penal Code, 1860, which deals with the offence of dowry harassment. It states that whoever, being the husband or relative of the husband of a married woman, subjects such woman to cruelty, shall be punished with imprisonment for a term which may extend to three years and also be liable to fine.

**Relevant Legal Provisions or Sections:**
Indian Penal Code, 1860, Section 498A

**Simple Explanation:**
In simple terms, IPC section 498A criminalizes the act of subjecting a married woman to cruelty by her husband or his relatives, usually with the intention of extracting dowry or other benefits. This provision aims to protect married women from harassment and abuse.

**Related Topics for Further Exploration:**
* Dowry deaths and dowry-related crimes
* Domestic violence and its legal implications
* Women's rights and gender-based violence

**Legal Category Classification:**
Criminal Law

**Disclaimer:**
This response is based on the legal documents and is intended to provide general information only. The legal interpretation and application of IPC section 498A may vary depending on the specific circumstances of each case. This is not legal advice. Please consult a qualified legal professional for specific legal matters.

This is not legal advice. Please consult a qualified legal professional for specific legal matters.","Section 498A deals with cruelty by husband or his relatives against a woman, often used in dowry harassment cases.",0.5446639060974121,0.019021742645745302,0.1388888888888889,0.06542056074766354,0.11111111111111112,0.0,0.7368421052631579,0,0,0.9,0.8,0.85,0.8535705804824829,0.8067045211791992,0.9062178730964661
What is Section 304B?,"Here's the response:

**Direct answer:**
Section 304B of the Indian Penal Code (IPC) deals with the offense of causing death by rash and negligent act.

**Relevant legal provisions:**
Section 304B, Indian Penal Code (IPC)

**Simple explanation:**
This section of the Indian Penal Code states that if someone causes the death of another person by performing a rash and negligent act, they can be punished with imprisonment for a term that may extend up to two years, or with a fine, or with both.

**Related topics for further exploration:**
1. Indian Penal Code (IPC)
2. Criminal Law
3. Homicide
4. Negligence
5. Rash and negligent act

**Legal category classification:**
Criminal Law

**Standard disclaimer:**
This is not legal advice. Please consult a qualified legal professional for specific legal matters.","Section 304B of IPC deals with dowry death, where a woman dies due to harassment or cruelty soon after marriage.",0.1907002329826355,0.0,0.15267175572519084,0.062015503875968984,0.15267175572519084,0.0,0.4,0,0,0.8,0.9,0.7,0.838072657585144,0.8087853789329529,0.8695606589317322
